Unnamed: 0,SARSA,SARSA Lambda,Q-learning,R-Learning
242,-751.74,-765.57,-745.2,-762.48
243,-751.11,-765.39,-750.49,-762.39
244,-751.92,-764.31,-751.12,-762.57
245,-751.38,-763.32,-750.58,-761.94
246,-750.39,-761.97,-751.93,-760.32
247,-748.77,-761.52,-751.66,-760.05
248,-748.77,-762.51,-754.72,-758.79
249,-749.04,-763.59,-755.71,-759.15
250,-748.68,-761.7,-754.63,-758.97
251,-749.76,-761.97,-754.63,-753.8
252,-754.23,-761.7,-755.53,-754.07
253,-754.68,-762.06,-754.69,-754.79
254,-753.24,-761.43,-753.61,-753.26
255,-753.87,-759.99,-754.24,-752.99
256,-753.42,-758.91,-756.22,-756.29
257,-753.15,-758.73,-756.76,-755.39
258,-754.41,-758.28,-756.4,-754.04
259,-753.96,-757.97,-755.41,-752.78
260,-754.59,-757.43,-755.68,-751.16
261,-755.49,-757.88,-756.49,-751.25
262,-754.32,-757.52,-755.23,-749.99
263,-753.87,-755.99,-753.52,-749.27
264,-753.78,-755.27,-753.34,-748.1
265,-753.51,-755.36,-752.89,-752.13
266,-752.34,-755.99,-751.27,-754.02
267,-750.9,-754.55,-751.18,-755.19
268,-750.99,-753.92,-752.08,-755.73
269,-749.28,-753.47,-753.16,-756.0
270,-748.65,-751.31,-752.44,-756.45
271,-748.11,-750.32,-752.26,-756.27
272,-747.39,-749.51,-752.53,-756.09
273,-749.1,-750.59,-750.66,-756.0
274,-747.3,-750.68,-750.75,-756.63
275,-747.12,-751.49,-750.84,-755.55
276,-746.31,-749.51,-750.03,-755.82
277,-746.67,-748.97,-749.4,-755.37
278,-747.3,-749.15,-744.93,-756.0
279,-746.94,-746.85,-746.37,-757.48
280,-747.93,-746.85,-745.02,-757.03
281,-747.66,-747.3,-744.57,-757.21
282,-745.61,-748.11,-744.03,-755.41
283,-744.62,-748.47,-743.31,-756.67
284,-745.79,-747.93,-742.95,-755.59
285,-746.87,-747.03,-743.76,-756.79
